,frequence,amplitude
0,四期肾癌有什么好的治疗方法吗？,http://ask.globecancer.com/q-1088.html
1,我父亲77，刚查出食道癌，加强CT显示除了食道有增厚，狭窄，其他无病变，是否可以认为是属于食道癌中期,http://ask.globecancer.com/q-712.html
2,食管恶性肿瘤食管下段鳞癌T3N0M0IIA期是什么期？,http://ask.globecancer.com/q-663.html
3,胰腺癌的分期,http://ask.globecancer.com/article-15327.html
4,食管癌分期综合治疗模式,http://ask.globecancer.com/article-15315.html
5,肝癌的分期？,http://ask.globecancer.com/article-15185.html
6,胃癌的分期,http://ask.globecancer.com/article-15163.html
7,肺癌分期阶段,http://ask.globecancer.com/article-15151.html
8,前 列 腺 基础百科,http://ask.globecancer.com/article-15143.html
9,膀胱癌百科,http://ask.globecancer.com/article-15146.html
10,承载着所有癌症患者及家属希望的免疫细胞，我们要如何保护你？,http://ask.globecancer.com/article-15478.html
11,【肺癌疫苗】神奇的古巴肺癌疫苗让晚期肺癌患者重回正常生活！,http://ask.globecancer.com/article-15373.html
12,【肺癌】为救老爸，飞跃半个地球的故事,http://ask.globecancer.com/article-15372.html
13,从古巴走私回家的纪念品：非小细胞肺癌疫苗,http://ask.globecancer.com/article-15371.html
14,非小细胞肺癌疫苗 美国CNN报道，一辈子都在吸烟的他，从被诊断为肺癌至今已幸存10年。。。,http://ask.globecancer.com/article-15367.html
15,全球肿瘤医生网出访古巴政府医疗服务机构SMC，将为国内癌症患者提供更好服务,http://ask.globecancer.com/article-15365.html
16,火速收藏！适用所有癌症类型的免疫疗法，你必须了解的十件事,http://ask.globecancer.com/article-14934.html
17,比PD-1更有效的新抗原疫苗最新临床数据公布！完虐多种肿瘤,http://ask.globecancer.com/article-14935.html
18,人体内的这类免疫细胞竟能制成挽救生命的癌症疫苗,http://ask.globecancer.com/article-14963.html
19,又有一种癌症疫苗被设计成功 已在犬类骨肉瘤上凸显成效,http://ask.globecancer.com/article-15006.html
20,终于被证实！生存期延长13.4个月！新型树突细胞免疫疗法横空出世,http://ask.globecancer.com/article-15043.html
21,晚期肺癌幸存11年，全因这种“特药”,http://ask.globecancer.com/article-15076.html
22,阿帕替尼在国内上市了吗？进入医保了吗？,http://ask.globecancer.com/q-1475.html
23,降低70%卵巢癌复发风险！一线维持治疗新药刚刚在中国获批！,http://ask.globecancer.com/article-15459.html
24,"小细胞肺癌免疫疗法,小细胞肺癌免疫治疗药物Atezolizumab(阿替利珠单抗、Tecentriq",http://ask.globecancer.com/article-15651.html
25,刚刚！小细胞肺癌国内首款免疫疗法阿替利珠单抗上市！小细胞肺癌药物阿替利珠单抗说明书/小细胞肺癌药物阿,http://ask.globecancer.com/article-15638.html
26,刚刚！小细胞肺癌国内首款免疫疗法阿替利珠单抗上市！,http://ask.globecancer.com/article-15622.html
27,国内引进全球最先进的脑肿瘤治疗黑色技术，临床招募进行中,http://ask.globecancer.com/article-15579.html
28,非小细胞肺癌患者对克唑替尼耐药，又出现脑转移，后续用哪种靶向药比较好？,http://ask.globecancer.com/q-1629.html
29,阿来替尼应作为一线治疗还是克唑替尼耐药后再使用？,http://ask.globecancer.com/q-1627.html
30,肺癌脑转移患者服用劳拉替尼效果好吗？,http://ask.globecancer.com/q-1631.html
31,阿来替尼耐药了怎么办？,http://ask.globecancer.com/q-1630.html
32,溶瘤病毒制剂T601是用病毒制成的抗肿瘤药吗？,http://ask.globecancer.com/q-2076.html
33,什么是溶瘤病毒？,http://ask.globecancer.com/q-2073.html
34,奥拉帕尼挑战胰腺癌！有这个突变，你也可能把癌王“吃没”,http://ask.globecancer.com/article-15105.html
35,美国foundation基因检测指导晚期肾癌患者用药,http://ask.globecancer.com/article-15104.html
36,foundation案例分享2】 罕见肉瘤患者基因检测后接受靶向治疗，肿瘤显著缩小！,http://ask.globecancer.com/article-15114.html
37,喜讯！10位美国顶级癌症专家将在本月为国内患者会诊！,http://ask.globecancer.com/article-15443.html
38,“不怕没方案，就怕误诊断”——北肿专家张小田主任告诉您如何避免误诊误治,http://ask.globecancer.com/article-15567.html
39,食道癌放疗后又堵塞，无法进食做胃造瘘,http://ask.globecancer.com/q-155.html
40,小细胞肺癌靶向药都是有哪些,http://ask.globecancer.com/q-154.html
41,透明细胞为主型肾癌的一线治疗-舒尼替尼,http://ask.globecancer.com/article-15282.html
42,透明细胞为主型肾癌的一线治疗-索拉非尼,http://ask.globecancer.com/article-15283.html
43,透明细胞为主型肾癌的一线治疗-培唑帕尼,http://ask.globecancer.com/article-15284.html
44,透明细胞为主型肾癌的一线治疗-阿昔替尼,http://ask.globecancer.com/article-15285.html
45,透明细胞为主型肾癌的一线治疗-卡博替尼,http://ask.globecancer.com/article-15286.html
46,透明细胞为主型肾癌的一线治疗-贝伐珠单抗联合干扰素,http://ask.globecancer.com/article-15287.html
47,非透明细胞型肾癌的系统治疗,http://ask.globecancer.com/article-15301.html
48,透明细胞为主型肾癌的后续治疗-替西罗莫司,http://ask.globecancer.com/article-15299.html
49,早期和晚期癌症都能使用瑞波替尼吗？,http://ask.globecancer.com/q-1715.html
50,Talectrectinib针对ROS1/NTRK多种基因突变的癌症有效吗？,http://ask.globecancer.com/q-1674.html
51,AB-106是什么药？有哪些优势？,http://ask.globecancer.com/q-1673.html
